interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2015-01-01 00:00:00+00:00,2015-01-01T01:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,28.109572,28.61,-0.52232,0.021892
2015-01-01 01:00:00+00:00,2015-01-01T02:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.713452,28.1,-0.431982,0.045434
2015-01-01 02:00:00+00:00,2015-01-01T03:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.207527,28.07,-0.932043,0.06957
2015-01-01 03:00:00+00:00,2015-01-01T04:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.468585,28.76,-1.294898,0.003483
2015-01-01 04:00:00+00:00,2015-01-01T05:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.395256,27.39,0.1082,-0.102944
2015-01-01 05:00:00+00:00,2015-01-01T06:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.786076,27.9,0.111817,-0.22574
2015-01-01 06:00:00+00:00,2015-01-01T07:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.974223,27.89,0.303795,-0.219573
2015-01-01 07:00:00+00:00,2015-01-01T08:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.401131,27.33,0.31877,-0.24764
2015-01-01 08:00:00+00:00,2015-01-01T09:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,27.12278,27.07,0.30084,-0.24806
2015-01-01 09:00:00+00:00,2015-01-01T10:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,26.313035,26.21,0.342714,-0.239679
2015-01-01 10:00:00+00:00,2015-01-01T11:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,25.359695,25.11,0.438095,-0.1884
2015-01-01 11:00:00+00:00,2015-01-01T12:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,25.565759,25.45,0.275447,-0.159688
2015-01-01 12:00:00+00:00,2015-01-01T13:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,25.92,25.51,0.464524,-0.054524
2015-01-01 13:00:00+00:00,2015-01-01T14:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,25.221762,25.01,0.23594,-0.024178
2015-01-01 14:00:00+00:00,2015-01-01T15:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,24.880687,24.54,0.248725,0.091961
2015-01-01 15:00:00+00:00,2015-01-01T16:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,24.060117,23.67,0.208967,0.181149
2015-01-01 16:00:00+00:00,2015-01-01T17:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,23.930973,23.46,0.253394,0.217579
2015-01-01 17:00:00+00:00,2015-01-01T18:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,23.514469,23.16,0.10103,0.253438
2015-01-01 18:00:00+00:00,2015-01-01T19:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,21.939884,21.6,0.091781,0.248104
2015-01-01 19:00:00+00:00,2015-01-01T20:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,19.106679,18.86,0.051125,0.195554
2015-01-01 20:00:00+00:00,2015-01-01T21:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,18.915869,18.68,0.051751,0.184119
